IMDB,Title,Score
tt0468569,The Dark Knight,9.10
tt0816692,Interstellar,8.70
tt0482571,The Prestige,8.50
tt2119532,Hacksaw Ridge,8.10
tt1392190,Mad Max: Fury Road,8.10
tt3783958,La La Land,8.00
tt2015381,Guardians of the Galaxy,8.00
tt1431045,Deadpool,8.00
tt3741834,Lion,8.00
tt2543164,Arrival,7.90
