Month,Quantity,avg_score
November,9,7.54
December,11,7.17
September,3,7.13
January,11,7.02
August,4,6.78
July,6,6.73
May,9,6.61
June,3,6.53
February,4,6.45
March,1,6.40
October,4,6.35
April,6,6.18
